[I 260121 09:49:15 consumers:62] SmartAPI WebSocket Opened
[I 260121 09:49:48 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2270948, 'exchange_timestamp': 1768969188000, 'last_traded_price': 5920795, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:48 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2271183, 'exchange_timestamp': 1768969189000, 'last_traded_price': 5920970, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:49 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2271631, 'exchange_timestamp': 1768969189000, 'last_traded_price': 5920775, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:49 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2271872, 'exchange_timestamp': 1768969190000, 'last_traded_price': 5920650, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:50 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2272321, 'exchange_timestamp': 1768969190000, 'last_traded_price': 5920915, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:50 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2272557, 'exchange_timestamp': 1768969191000, 'last_traded_price': 5920910, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:51 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2273001, 'exchange_timestamp': 1768969191000, 'last_traded_price': 5920845, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:51 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2273238, 'exchange_timestamp': 1768969192000, 'last_traded_price': 5920495, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:52 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2273735, 'exchange_timestamp': 1768969192000, 'last_traded_price': 5920650, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:52 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2273973, 'exchange_timestamp': 1768969193000, 'last_traded_price': 5920600, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:53 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2274424, 'exchange_timestamp': 1768969193000, 'last_traded_price': 5920415, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:53 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2274668, 'exchange_timestamp': 1768969194000, 'last_traded_price': 5920555, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:54 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2275111, 'exchange_timestamp': 1768969194000, 'last_traded_price': 5919780, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:54 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2275352, 'exchange_timestamp': 1768969195000, 'last_traded_price': 5919940, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:55 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2276032, 'exchange_timestamp': 1768969196000, 'last_traded_price': 5919570, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:56 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2276478, 'exchange_timestamp': 1768969196000, 'last_traded_price': 5919855, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:56 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2276723, 'exchange_timestamp': 1768969197000, 'last_traded_price': 5919770, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:57 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2277248, 'exchange_timestamp': 1768969197000, 'last_traded_price': 5919480, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:57 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2277484, 'exchange_timestamp': 1768969198000, 'last_traded_price': 5919670, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:58 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2277896, 'exchange_timestamp': 1768969198000, 'last_traded_price': 5919635, 'subscription_mode_val': 'LTP'}
